merchant_slug,merchant_name,merchant_sku,product_name,category,description,price_kzt,size,color,material,stock_quantity,image_url,active,source_availability,source_url,source_checked_at,data_mode
lc-waikiki-kz,LC Waikiki Kazakhstan,9SP169Z4-FFB-11-12,Белая рубашка для девочки LCW Kids,school_shirt,"Школьная белая рубашка для девочки, demo-вариант 11–12 лет.",1990,11-12Y,оптический белый,хлопок / вискоза,8,,true,public_page_snapshot,https://www.lcwaikiki.kz/devochki-belyy-rubashka-belyy-o-617118,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,S6LJ34Z4-LU7-11-12,Рубашка для мальчика с батиковым узором,casual_shirt,Белая рубашка с принтом и коротким рукавом из поплина.,4490,11-12Y,белый с принтом,поплин,5,,true,public_page_snapshot,https://www.lcwaikiki.kz/rubashka-dlya-malchikov-s-batikovym-uzorom-belyy-o-5233580,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,8S0955Z4-JYX-11-12,Белая хлопковая рубашка для мальчика,school_shirt,Стандартная белая рубашка из хлопкового поплина.,2490,11-12Y,бриллиантовый белый,100% хлопок,14,,true,public_page_snapshot,https://www.lcwaikiki.kz/malchiki-belyy-rubashka-belyy-o-556191,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,W22663Z4-R9K-11-12,Базовая белая рубашка с длинным рукавом,school_shirt,Базовая школьная рубашка с нагрудным карманом.,8990,11-12Y,белый,смесь хлопка,6,,true,public_page_snapshot,https://www.lcwaikiki.kz/dlya-malchikov-bazovaya-rubashka-s-dlinnym-rukavom-belyy-o-2501698,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,S3H851Z1-E5X-5-6,Белая рубашка для малыша с коротким рукавом,kids_shirt,Лёгкая белая рубашка для мальчика с коротким рукавом.,5990,5-6Y,оптический белый,100% хлопок,7,,true,public_page_snapshot,https://www.lcwaikiki.kz/rubashka-dlya-malyshey-malchikov-s-korotkim-rukavom-belyy-o-3082116,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,S5BM97Z4-Q6K-11-12,Белая рубашка из хлопка и льна,casual_shirt,Рубашка из лёгкой хлопково-льняной смеси.,5990,11-12Y,белый,"94% хлопок, 6% лён",4,,true,public_page_snapshot,https://www.lcwaikiki.kz/rubashka-iz-lnyanoy-smesi-dlya-malchikov-belyy-o-4426112,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,S2M439Z1-E5X-5-6,Хлопковая рубашка Mickey Mouse,kids_shirt,Белая рубашка с принтом Mickey Mouse и коротким рукавом.,2490,5-6Y,белый с принтом,100% хлопок,9,,true,public_page_snapshot,https://www.lcwaikiki.kz/rubashka-dlya-malyshey-malchikov-s-korotkim-rukavom-i-printom-mikki-maus-iz-khlopka-belyy-o-2421089,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,S6AK24Z4-Q6K-11-12,Белая муслиновая рубашка для мальчика,casual_shirt,Муслиновая хлопковая рубашка с короткими рукавами.,6990,11-12Y,самшит белый,100% хлопок,3,,true,public_page_snapshot,https://www.lcwaikiki.kz/rubashka-iz-vyshitogo-muslina-dlya-malchikov-belyy-o-5218695,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,0W0572Z4-FFB-11-12,Белая поплиновая рубашка для девочки,school_shirt,Однотонная белая рубашка с рубашечным воротником.,4490,11-12Y,белый,100% хлопок,11,,true,public_page_snapshot,https://www.lcwaikiki.kz/devochki-belyy-rubashka-belyy-o-687614,2026-07-30,demo_reference
lc-waikiki-kz,LC Waikiki Kazakhstan,W12065Z4-R9K-11-12,Базовая поплиновая рубашка с длинным рукавом,school_shirt,Классическая белая школьная рубашка из поплина.,5990,11-12Y,оптический белый,поплин,10,,true,public_page_snapshot,https://www.lcwaikiki.kz/bazovaya-rubashka-dlya-malchika-iz-poplina-s-dlinnym-rukavom-belyy-o-1679399,2026-07-30,demo_reference
